File,Classifier,Accuracy,Recall,Part
LiftHold_LeftWrist,Random Forest,0.5425531914893617,0.6909090909090909,first_five
LiftHold_LeftWrist,XGBoost,0.5,0.5636363636363636,first_five
LiftHold_LeftWrist,LightGBM,0.425531914893617,0.4727272727272727,first_five
LiftHold_LeftWrist,Ensemble,0.5,0.5740740740740741,first_five
LiftHold_LeftWrist,Random Forest,0.5319148936170213,0.6727272727272727,rest
LiftHold_LeftWrist,XGBoost,0.5851063829787234,0.7090909090909091,rest
LiftHold_LeftWrist,LightGBM,0.5531914893617021,0.6181818181818182,rest
LiftHold_LeftWrist,Ensemble,0.5,0.582089552238806,rest
StretchHold_LeftWrist,Random Forest,0.5957446808510638,0.7454545454545455,first_five
StretchHold_LeftWrist,XGBoost,0.5425531914893617,0.6727272727272727,first_five
StretchHold_LeftWrist,LightGBM,0.5851063829787234,0.7090909090909091,first_five
StretchHold_LeftWrist,Ensemble,0.5957446808510638,0.6307692307692307,first_five
StretchHold_LeftWrist,Random Forest,0.6063829787234043,0.7818181818181819,rest
StretchHold_LeftWrist,XGBoost,0.5106382978723404,0.6727272727272727,rest
StretchHold_LeftWrist,LightGBM,0.5957446808510638,0.7636363636363637,rest
StretchHold_LeftWrist,Ensemble,0.5957446808510638,0.5875,rest
CrossArms_LeftWrist,Random Forest,0.574468085106383,0.7454545454545455,first_five
CrossArms_LeftWrist,XGBoost,0.5319148936170213,0.6727272727272727,first_five
CrossArms_LeftWrist,LightGBM,0.574468085106383,0.6909090909090909,first_five
CrossArms_LeftWrist,Ensemble,0.5638297872340425,0.609375,first_five
CrossArms_LeftWrist,Random Forest,0.48936170212765956,0.6545454545454545,rest
CrossArms_LeftWrist,XGBoost,0.5106382978723404,0.6909090909090909,rest
CrossArms_LeftWrist,LightGBM,0.5212765957446809,0.6727272727272727,rest
CrossArms_LeftWrist,Ensemble,0.5638297872340425,0.5737704918032787,rest
Entrainment_RightWrist,Random Forest,0.5531914893617021,0.7090909090909091,first_five
Entrainment_RightWrist,XGBoost,0.574468085106383,0.6,first_five
Entrainment_RightWrist,LightGBM,0.5957446808510638,0.6181818181818182,first_five
Entrainment_RightWrist,Ensemble,0.5851063829787234,0.6481481481481481,first_five
Entrainment_RightWrist,Random Forest,0.5319148936170213,0.7090909090909091,rest
Entrainment_RightWrist,XGBoost,0.4574468085106383,0.5272727272727272,rest
Entrainment_RightWrist,LightGBM,0.4787234042553192,0.6,rest
Entrainment_RightWrist,Ensemble,0.5851063829787234,0.5757575757575758,rest
PointFinger_LeftWrist,Random Forest,0.6063829787234043,0.7636363636363637,first_five
PointFinger_LeftWrist,XGBoost,0.5851063829787234,0.6545454545454545,first_five
PointFinger_LeftWrist,LightGBM,0.5638297872340425,0.7090909090909091,first_five
PointFinger_LeftWrist,Ensemble,0.5957446808510638,0.639344262295082,first_five
PointFinger_LeftWrist,Random Forest,0.5638297872340425,0.7272727272727273,rest
PointFinger_LeftWrist,XGBoost,0.46808510638297873,0.5454545454545454,rest
PointFinger_LeftWrist,LightGBM,0.5425531914893617,0.6545454545454545,rest
PointFinger_LeftWrist,Ensemble,0.5957446808510638,0.546875,rest
DrinkGlas_RightWrist,Random Forest,0.5531914893617021,0.6909090909090909,first_five
DrinkGlas_RightWrist,XGBoost,0.5319148936170213,0.6,first_five
DrinkGlas_RightWrist,LightGBM,0.5851063829787234,0.6909090909090909,first_five
DrinkGlas_RightWrist,Ensemble,0.5319148936170213,0.5964912280701754,first_five
DrinkGlas_RightWrist,Random Forest,0.6063829787234043,0.7818181818181819,rest
DrinkGlas_RightWrist,XGBoost,0.6382978723404256,0.7272727272727273,rest
DrinkGlas_RightWrist,LightGBM,0.5957446808510638,0.6909090909090909,rest
DrinkGlas_RightWrist,Ensemble,0.5319148936170213,0.625,rest
TouchIndex_RightWrist,Random Forest,0.5106382978723404,0.6545454545454545,first_five
TouchIndex_RightWrist,XGBoost,0.4574468085106383,0.5636363636363636,first_five
TouchIndex_RightWrist,LightGBM,0.5,0.6545454545454545,first_five
TouchIndex_RightWrist,Ensemble,0.4787234042553192,0.55,first_five
TouchIndex_RightWrist,Random Forest,0.5106382978723404,0.6,rest
TouchIndex_RightWrist,XGBoost,0.5531914893617021,0.6363636363636364,rest
TouchIndex_RightWrist,LightGBM,0.5106382978723404,0.5636363636363636,rest
TouchIndex_RightWrist,Ensemble,0.4787234042553192,0.5846153846153846,rest
DrinkGlas_LeftWrist,Random Forest,0.574468085106383,0.7636363636363637,first_five
DrinkGlas_LeftWrist,XGBoost,0.574468085106383,0.7454545454545455,first_five
DrinkGlas_LeftWrist,LightGBM,0.5957446808510638,0.7636363636363637,first_five
DrinkGlas_LeftWrist,Ensemble,0.5851063829787234,0.6212121212121212,first_five
DrinkGlas_LeftWrist,Random Forest,0.5531914893617021,0.6545454545454545,rest
DrinkGlas_LeftWrist,XGBoost,0.5319148936170213,0.5636363636363636,rest
DrinkGlas_LeftWrist,LightGBM,0.5638297872340425,0.6,rest
DrinkGlas_LeftWrist,Ensemble,0.5851063829787234,0.6060606060606061,rest
Relaxed_RightWrist,Random Forest,0.5638297872340425,0.8,first_five
Relaxed_RightWrist,XGBoost,0.5531914893617021,0.7636363636363637,first_five
Relaxed_RightWrist,LightGBM,0.5,0.7272727272727273,first_five
Relaxed_RightWrist,Ensemble,0.5425531914893617,0.5833333333333334,first_five
Relaxed_RightWrist,Random Forest,0.5212765957446809,0.6545454545454545,rest
Relaxed_RightWrist,XGBoost,0.5,0.5818181818181818,rest
Relaxed_RightWrist,LightGBM,0.4787234042553192,0.5272727272727272,rest
Relaxed_RightWrist,Ensemble,0.5425531914893617,0.5238095238095238,rest
PointFinger_RightWrist,Random Forest,0.5531914893617021,0.7454545454545455,first_five
